rank,name,artist,ImageLink,country,day,timeScriptWasExecuted,ImgLink
13,Friday (feat. Mufasa & Hypeman) (Dopamine Re-Edit),Riton & Nightcrawlers,,United Kingdom,2023-01-29,18:09:00.830783,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/8141a6ba45b74e12836b7cc992ba44ac.jpeg
14,Faded X Play (Remix),Mukhlis,,United Kingdom,2023-01-29,18:09:00.830783,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/33cd3f5e90464fd3b227525515401a2c.jpeg
15,Mrs. Right,Mindless Behavior,,United Kingdom,2023-01-29,18:09:00.830783,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/465f8f56a9744b1b82097491f955929d.jpeg
1,Naughty,Alisha Weir & The Cast of Roald Dahl's Matilda The Musical,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/90415ee671864662963bc48436415e53.jpeg
2,Collide (sped up),Justine Skye,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/1456c366a1a04fc5b2ccd6535bb1d5a1.jpeg
3,Edge of Night [Pippin's Song] (Bonus Track),MALINDA,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/778e5159d6764097be5a51f149fc1f4c.jpeg
4,Love You So,The King Khan & BBQ Show,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/6aa2532c996940c484c6513b9049d494.jpeg
5,Pretty Girls Walk,Big Boss Vette,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/21afdcd82dd34e038139cb505ab68673.jpeg
6,Sorry.,Blank.,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/d436befe9eb840c68dae71dcce227be4.jpeg
7,Lavender Haze,Taylor Swift,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/61ebfc76af904653954df13eb2fca120.jpeg
8,"Soldier, Poet, King",The Oh Hellos,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/e5bb7ef35bdb46eeb4f6f1720d81747c.jpeg
9,SPAIN,Jassa Dhillon & Thiarajxtt,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/62b86d366f384dd1b145a0e4db416fdd.jpeg
10,The Fourth Tibetan Bowl Jhana: Utter Peacefulness,Pure Tibetan Bowls,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/4bf986ad087941879ac17e0d39aa81c0.jpeg
11,Gout,Joeyy,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/7b9bf64449ad4dda830f133a35b0c4ae.jpeg
12,OLIVIA,kate gill,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/1a2038badb6b461a979556c7a8c3774d.jpeg
13,777hz Ariel: Manifestation with the Help of the Elementals,Ted Winslow,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/193fa9b9a6c54c42b00c7ad1658045a3.jpeg
14,GOT IT GOOD,James Johnston,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/3f00e377f93542b3a3cf39a212e62c71.jpeg
15,Look At Me!,XXXSTRATION,,Australia,2023-01-29,18:09:17.471634,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/597907b3fe694e2882470b0e75104f36.jpeg
1,"Ain't No Way Around It Remix feat. Future, Big Boi & Young Jeezy",DJ Drama,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/255b93c7d421456f8346627a81404b41.jpeg
2,Mrs. Right,Mindless Behavior,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/465f8f56a9744b1b82097491f955929d.jpeg
3,Lollipop,Lil Wayne,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/e65327a6778c4b0e99d5f3a6f6057ba5.jpeg
4,Naughty,Alisha Weir & The Cast of Roald Dahl's Matilda The Musical,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/90415ee671864662963bc48436415e53.jpeg
5,Toxic,Britney Spears,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/8a778f14a636401c89383687ca465531.jpeg
6,"Theme from ""Puss in Boots"" (The Puss Suite)",Movie Sounds Unlimited,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/567fbeafb4564f66b84ac40f1097f5b4.jpeg
7,Cha Cha Slide - Original Live Platinum Band Mix,DJ Casper,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/118ae6bb91d44a1989a7ca0e78d0987a.jpeg
8,HYMU,Tweeday,,United States,2023-01-30,18:08:05.588857,https://p16-sg.tiktokcdn.com/aweme/100x100/tos-alisg-v-2774/4a461f1391354a4d99f667b708c0cff5.jpeg
